date,calls,abnd,att,awt,awtx Abnd ,YN
02/08/2017,488,114,32.13333333,64.8,0.633252315,12
03/08/2017,479,112,27.63333334,79.51666667,0.565729168,10
04/08/2017,575,196,39.48333333,142.45,1.694953702,4
05/08/2017,1,1,0,1.75,0.001215278,1
08/08/2017,785,337,37.08333333,190.9,3.132604166,4
09/08/2017,520,143,36.5,94.78333334,0.872430556,8
10/08/2017,601,205,33.88333333,144.1666667,1.504826389,8
11/08/2017,619,243,34.68333333,127.65,2.161655091,6
14/08/2017,592,179,44.41666667,116.6333333,1.249965277,8
15/08/2017,604,227,32.78333333,113.3166667,1.700763887,9
16/08/2017,442,66,37.85,49.93333333,0.184409723,14
17/08/2017,474,75,27.65,38.53333333,0.240798611,13
18/08/2017,570,142,29.23333333,61.78333333,0.813599538,9
21/08/2017,548,229,48.68333333,136.7333333,1.863773148,7
22/08/2017,497,182,58.21666667,145.75,1.358495368,8
23/08/2017,469,165,34.48333333,92.03333333,1.106724537,12
24/08/2017,481,135,38,70.33333333,0.692743055,12
25/08/2017,578,196,26.75,88.06666666,1.349907407,8
28/08/2017,583,231,36.13333333,153.1,1.879432871,9
29/08/2017,479,162,29.6,80.16666667,1.004606481,11
30/08/2017,435,114,39.33333333,88.15,0.659710649,10
31/08/2017,460,129,34.36666667,68.83333333,0.635752314,12
01/09/2017,445,91,45.11666667,96.61666667,0.423379629,12
02/09/2017,2,2,0,0.816666667,0.00056713,2
04/09/2017,561,209,41.06666667,132.7666667,1.482777778,13
05/09/2017,436,110,44.3,94.16666667,0.614953704,10
06/09/2017,449,141,28.78333333,77.46666666,0.852939815,10
07/09/2017,513,101,44.6,71.26666667,0.48304398,11
08/09/2017,517,159,33.95,91.85,1.113634259,7
09/09/2017,1,1,0,0.55,0.000381944,1
11/09/2017,558,168,28.83333333,77.25,1.028599538,7
12/09/2017,481,144,41.1,82.63333333,0.840011574,11
13/09/2017,442,109,36.25,81.05,0.537060184,15
14/09/2017,449,30,41.13333333,19.81666667,0.037094907,14
15/09/2017,466,42,33,25.1,0.107476853,13
18/09/2017,550,110,29.83333333,57.23333333,0.493819444,13
19/09/2017,480,106,30.8,67.06666666,0.565671295,10
20/09/2017,428,65,36.55,41.66666667,0.234988426,10
21/09/2017,497,103,32,81.73333333,0.516597223,13
22/09/2017,525,108,43.75,73.31666667,0.505439815,14
25/09/2017,502,70,26.5,34.5,0.207199073,10
26/09/2017,423,45,32.13333333,24.46666667,0.106180556,10
27/09/2017,416,86,29.7,57.11666667,0.386087962,12
28/09/2017,395,47,41.48333333,37.93333333,0.107824076,14
29/09/2017,440,133,27.21666667,80.76666666,0.988703704,5
02/10/2017,427,95,30.85,73.33333334,0.555416666,11
03/10/2017,420,87,43.28333333,69.48333333,0.358483796,12
04/10/2017,402,71,42.06666667,67.8,0.302453703,14
05/10/2017,487,76,37.26666667,60.93333333,0.244375,13
06/10/2017,464,57,29.65,29.73333333,0.131712962,14
09/10/2017,493,116,48.15,75.7,0.641203705,12
10/10/2017,441,54,42.36666667,40.95,0.135717592,14
11/10/2017,421,56,38.65,52.05,0.244074073,14
12/10/2017,392,39,40.1,29.08333333,0.104212962,13
